date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-11-12,2600.0,2600.0,2200.0,2500.0,100000000,40000,3,1000.0,2600.0
2014-01-22,1600.0,1600.0,1600.0,1600.0,48000000,30000,3,2500.0,1600.0
2014-01-27,1400.0,1610.0,1400.0,1598.0,32790300,20523,4,1600.0,1601.0
2014-01-29,1580.0,1599.0,1580.0,1582.0,19769000,12500,2,1598.0,1599.0
2014-02-02,1599.0,1599.0,1599.0,1599.0,10873200,6800,1,1582.0,1599.0
2014-02-03,1300.0,1599.0,1300.0,1381.0,20655600,14961,3,1599.0,1599.0
2014-02-18,1380.0,1380.0,1380.0,1380.0,16986420,12309,1,1381.0,1380.0
2014-02-26,1380.0,1380.0,1380.0,1380.0,10143000,7350,1,1380.0,1380.0
2014-03-04,1400.0,1400.0,1200.0,1262.0,63090900,50000,6,1380.0,1200.0
2014-03-09,1200.0,1200.0,1200.0,1200.0,19791600,16493,2,1262.0,1200.0
2014-03-15,1090.0,1090.0,1090.0,1090.0,10900000,10000,1,1200.0,1090.0
2014-03-17,1090.0,1090.0,1090.0,1090.0,1580500,1450,1,1090.0,1090.0
2014-03-30,1440.0,1440.0,1400.0,1401.0,176856000,126240,2,1090.0,1400.0
2014-04-05,1200.0,1200.0,1200.0,1200.0,5550000,4625,1,1401.0,1200.0
2014-04-06,1799.0,1799.0,1799.0,1799.0,37728628,20972,5,1200.0,1799.0
2014-04-07,1799.0,1799.0,1799.0,1799.0,4974235,2765,1,1799.0,1799.0
2014-04-08,1799.0,1799.0,1799.0,1799.0,103748330,57670,3,1799.0,1799.0
2014-04-09,1799.0,1800.0,1799.0,1799.0,100894207,56076,5,1799.0,1799.0
2014-04-12,1979.0,2000.0,1979.0,1993.0,89929000,45127,5,1799.0,1979.0
2014-04-13,2100.0,2100.0,1970.0,1989.0,40761210,20493,3,1993.0,1970.0
2014-04-15,2100.0,2150.0,2100.0,2102.0,6499950,3093,2,1989.0,2150.0
2014-04-16,2150.0,2150.0,2000.0,2007.0,42244000,21047,3,2102.0,2000.0
2014-04-19,2000.0,2000.0,1970.0,1992.0,219006000,109953,2,2007.0,1970.0
2014-04-20,1970.0,2000.0,1970.0,1994.0,24938790,12507,2,1992.0,2000.0
2014-04-21,1970.0,1970.0,1970.0,1970.0,19700000,10000,1,1994.0,1970.0
2014-04-26,2000.0,2000.0,1970.0,1983.0,17850000,9000,2,1970.0,1970.0
2014-04-27,2000.0,2000.0,2000.0,2000.0,4000000,2000,1,1983.0,2000.0
2014-04-28,2000.0,2000.0,2000.0,2000.0,10000000,5000,1,2000.0,2000.0
2014-04-30,2000.0,2000.0,2000.0,2000.0,67610000,33805,5,2000.0,2000.0
2014-05-03,1800.0,1800.0,1800.0,1800.0,9000000,5000,1,2000.0,1800.0
2014-05-05,1850.0,1850.0,1850.0,1850.0,4060750,2195,1,1800.0,1850.0
2014-05-12,1520.0,1520.0,1520.0,1520.0,7546800,4965,2,1850.0,1520.0
2014-05-24,1900.0,1900.0,1900.0,1900.0,5700000,3000,1,1520.0,1900.0
2014-05-25,1650.0,1650.0,1600.0,1620.0,20730000,12800,2,1900.0,1600.0
2014-05-26,1600.0,1600.0,1600.0,1600.0,16846400,10529,1,1620.0,1600.0
