date,open,high,low,adjClose,value,volume,count,yesterday,close
2018-07-29,1700.0,1700.0,1700.0,1710.0,329851000,194030,23,2026.0,1700.0
2018-07-30,1570.0,1688.0,1539.0,1590.0,5418724806,3407016,425,1710.0,1661.0
2018-07-31,1740.0,1749.0,1642.0,1747.0,3475189789,1988732,228,1590.0,1749.0
2018-08-07,1899.0,2088.0,1899.0,2074.0,3542822736,1708126,85,1707.0,2085.0
2018-08-08,2080.0,2148.0,1886.0,1997.0,3733226097,1869417,244,2074.0,1900.0
2018-08-11,1880.0,2040.0,1850.0,1919.0,1891656972,985674,198,1997.0,1900.0
2018-08-12,1863.0,1970.0,1806.0,1893.0,2597299052,1372185,261,1919.0,1970.0
2018-08-13,1997.0,2030.0,1851.0,1899.0,2463704935,1297684,204,1893.0,1860.0
2018-08-14,1860.0,1888.0,1800.0,1829.0,1694206584,926058,158,1899.0,1812.0
2018-08-15,1850.0,1866.0,1795.0,1807.0,2240550903,1240135,150,1829.0,1825.0
2018-08-18,1860.0,1978.0,1841.0,1927.0,2547463667,1322059,231,1807.0,1929.0
2018-08-19,1935.0,2040.0,1919.0,1972.0,4571592157,2318621,341,1927.0,1981.0
2018-08-20,2019.0,2169.0,2019.0,2140.0,5864466813,2739977,378,1972.0,2169.0
2018-08-21,2250.0,2290.0,2181.0,2236.0,3451733582,1543744,244,2140.0,2190.0
2018-08-25,2270.0,2350.0,2240.0,2308.0,2564960343,1111503,178,2236.0,2340.0
2018-08-26,2430.0,2538.0,2350.0,2504.0,8025967911,3205295,435,2308.0,2538.0
2018-08-27,2680.0,2680.0,2330.0,2489.0,5284114742,2123057,299,2504.0,2559.0
2018-08-28,2600.0,2600.0,2411.0,2521.0,7065408266,2802316,334,2489.0,2500.0
2018-08-29,2471.0,2726.0,2471.0,2634.0,6987670474,2653329,354,2521.0,2689.0
2018-09-01,2720.0,2720.0,2476.0,2565.0,1915982170,747108,127,2634.0,2541.0
2018-09-02,2502.0,2584.0,2456.0,2498.0,1846421204,739201,112,2565.0,2460.0
2018-09-03,2550.0,2659.0,2440.0,2583.0,6276399776,2430217,337,2498.0,2555.0
2018-09-04,2600.0,2738.0,2555.0,2606.0,5096305983,1955559,255,2583.0,2600.0
2018-09-05,2640.0,2640.0,2504.0,2565.0,3259215813,1270768,155,2606.0,2530.0
2018-09-08,2625.0,2821.0,2569.0,2750.0,10525300735,3826948,455,2565.0,2821.0
2018-09-09,2870.0,3025.0,2811.0,2957.0,11326457793,3830142,466,2750.0,2831.0
