date,open,high,low,adjClose,value,volume,count,yesterday,close
2003-05-11,16500.0,16500.0,16500.0,16500.0,49500000,3000,1,16500.0,16500.0
2003-05-27,16500.0,16500.0,16500.0,16500.0,4851000000,294000,2,16500.0,16500.0
2003-05-28,16500.0,16500.0,16500.0,16500.0,3710025000,224850,3,16500.0,16500.0
2003-06-03,16500.0,16500.0,16500.0,16500.0,34650000,2100,3,16500.0,16500.0
2003-06-11,16500.0,16500.0,16500.0,16500.0,1650000,100,1,16500.0,16500.0
2003-06-16,16500.0,16500.0,16500.0,16500.0,1773750000,107500,6,16500.0,16500.0
2003-06-17,16500.0,16500.0,16500.0,16500.0,701250000,42500,5,16500.0,16500.0
2003-06-18,16501.0,16501.0,16501.0,16501.0,1650100000,100000,2,16500.0,16501.0
2003-06-21,16501.0,16501.0,16501.0,16501.0,1650100000,100000,2,16501.0,16501.0
2003-06-25,16501.0,16501.0,16501.0,16501.0,701292500,42500,5,16501.0,16501.0
2003-06-29,16502.0,16502.0,16502.0,16502.0,38779700,2350,1,16501.0,16502.0
2003-07-14,16502.0,16502.0,16502.0,16502.0,1650200,100,2,16502.0,16502.0
2005-05-29,5000.0,5000.0,5000.0,5000.0,2000000,400,1,16502.0,5000.0
2005-08-20,5000.0,5000.0,5000.0,5000.0,575000000,115000,2,5000.0,5000.0
2005-08-21,5000.0,5000.0,5000.0,5000.0,379885000,75977,2,5000.0,5000.0
2005-08-22,5000.0,5000.0,5000.0,5000.0,2500000,500,5,5000.0,5000.0
2005-08-27,5000.0,5000.0,5000.0,5000.0,500000,100,1,5000.0,5000.0
2005-09-11,5000.0,5000.0,5000.0,5000.0,500000,100,1,5000.0,5000.0
2006-07-29,6000.0,6300.0,6000.0,6207.0,70793712,11683,23,5000.0,6207.0
2007-02-27,6000.0,6000.0,6000.0,6000.0,17580000,2930,9,6207.0,6000.0
2008-05-11,5500.0,5500.0,5500.0,5500.0,913000,166,1,6000.0,5500.0
2009-06-27,6000.0,6000.0,6000.0,6000.0,936690000,156115,54,4500.0,6000.0
2010-04-06,5000.0,5000.0,5000.0,5000.0,1805000,361,1,5000.0,5000.0
2010-04-11,5175.0,5175.0,5175.0,5011.0,1293750,250,2,5000.0,5175.0
2010-04-24,5186.0,5186.0,5186.0,5016.0,575646,111,1,5011.0,5186.0
2010-06-28,5016.0,5216.0,5016.0,5016.0,1342609776,267661,8,5016.0,5216.0
2010-07-06,5016.0,5018.0,5016.0,5017.0,1530842112,305132,8,5016.0,5018.0
2010-07-12,5019.0,5019.0,5019.0,5019.0,765728754,152566,4,5017.0,5019.0
2010-10-02,5219.0,5219.0,5219.0,5020.0,57409,11,1,5019.0,5219.0
2011-02-08,4180.0,4180.0,4180.0,4047.0,2783880,666,1,4020.0,4180.0
2011-02-09,4208.0,4208.0,4208.0,4048.0,109408,26,1,4047.0,4208.0
2011-07-20,4209.0,4209.0,4209.0,4048.0,46299,11,1,4048.0,4209.0
2011-08-17,4209.0,4209.0,4209.0,4054.0,627141,149,1,4048.0,4209.0
2014-09-07,3000.0,3000.0,3000.0,3000.0,1998000,666,1,300.0,3000.0
2015-12-23,577.0,577.0,577.0,577.0,1537128,2664,1,550.0,577.0
2017-05-15,194.0,194.0,194.0,194.0,516816,2664,1,177.0,194.0
2018-10-03,75.0,75.0,75.0,69.0,75000,1000,1,69.0,75.0
2022-07-02,1.0,1.0,1.0,1.0,744,744,1,1.0,1.0
2022-08-27,300000.0,309000.0,291000.0,299666.0,59933298384,200000,199,1.0,291000.0
2022-08-28,290700.0,290700.0,290700.0,296500.0,3404387700,11711,49,299666.0,290700.0
2022-08-29,287650.0,287650.0,287650.0,291700.0,5181151800,18012,44,296500.0,287650.0
2022-08-30,282950.0,300450.0,282950.0,288750.0,37215362500,128894,600,291700.0,291750.0
2022-08-31,297000.0,297300.0,280100.0,283600.0,16056480050,56620,218,288750.0,280100.0
2022-09-03,275100.0,285000.0,275100.0,279350.0,9685508600,34679,244,283600.0,280000.0
2022-09-04,280150.0,280150.0,271000.0,271550.0,19828233100,73023,415,279350.0,271000.0
2022-09-05,263450.0,275300.0,263450.0,266250.0,6274019400,23794,151,271550.0,263450.0
2022-09-06,258350.0,258350.0,258300.0,265900.0,410192600,1588,25,266250.0,258300.0
2022-09-07,257950.0,257950.0,257950.0,265900.0,18056500,70,3,265900.0,257950.0
2022-09-10,257950.0,257950.0,257950.0,265900.0,10318000,40,2,265900.0,257950.0
2022-09-11,257950.0,257950.0,257950.0,265850.0,83833750,325,2,265900.0,257950.0
2022-09-12,257900.0,257900.0,257900.0,264700.0,1391886300,5397,7,265850.0,257900.0
2022-09-13,256800.0,256800.0,256800.0,263850.0,1045176000,4070,8,264700.0,256800.0
2022-09-14,255950.0,255950.0,255950.0,262800.0,1285636850,5023,21,263850.0,255950.0
2022-09-18,254950.0,254950.0,254950.0,261700.0,1334918200,5236,14,262800.0,254950.0
2022-09-19,253850.0,253850.0,253850.0,260650.0,1290319550,5083,15,261700.0,253850.0
2022-09-20,252850.0,252850.0,252850.0,259600.0,1312797200,5192,23,260650.0,252850.0
2022-09-21,267350.0,267350.0,267350.0,260750.0,1486198650,5559,24,259600.0,267350.0
2022-09-24,268550.0,268550.0,268550.0,261450.0,926497500,3450,10,260750.0,268550.0
2022-09-26,269250.0,269250.0,269250.0,262250.0,1073230500,3986,14,261450.0,269250.0
2022-09-28,270100.0,270100.0,270100.0,262550.0,426758000,1580,4,262250.0,270100.0
2022-10-01,270400.0,270400.0,270400.0,262600.0,80308800,297,3,262550.0,270400.0
2022-10-02,270450.0,270450.0,270450.0,262950.0,484105500,1790,5,262600.0,270450.0
2022-10-03,270800.0,270800.0,270800.0,263050.0,127546800,471,3,262950.0,270800.0
2022-10-04,276200.0,276200.0,276200.0,264100.0,849867400,3077,16,263050.0,276200.0
2022-10-08,272000.0,272000.0,272000.0,264500.0,547808000,2014,10,264100.0,272000.0
2022-10-09,272400.0,272400.0,272400.0,264500.0,14164800,52,2,264500.0,272400.0
2022-10-10,272400.0,272400.0,272400.0,264550.0,34050000,125,4,264500.0,272400.0
2022-10-11,272450.0,272450.0,272450.0,264600.0,32694000,120,2,264550.0,272450.0
2022-10-12,272500.0,272500.0,272500.0,265200.0,751827500,2759,10,264600.0,272500.0
2022-10-15,273150.0,273150.0,273150.0,266050.0,1103799150,4041,11,265200.0,273150.0
2022-10-16,279350.0,279350.0,279350.0,267050.0,808997600,2896,9,266050.0,279350.0
2022-10-17,275050.0,275050.0,275050.0,267300.0,309156200,1124,4,267050.0,275050.0
2022-10-18,275300.0,275300.0,275300.0,267350.0,33036000,120,5,267300.0,275300.0
2022-10-19,275350.0,275350.0,275350.0,267400.0,45432750,165,4,267350.0,275350.0
2022-10-22,275400.0,275400.0,275400.0,267550.0,162210600,589,5,267400.0,275400.0
2022-10-23,275550.0,275550.0,275550.0,268600.0,1333662000,4840,11,267550.0,275550.0
2022-10-24,282000.0,282000.0,282000.0,282000.0,298638000,1059,7,268600.0,282000.0
2022-10-25,290450.0,290450.0,290450.0,290450.0,608783200,2096,6,282000.0,290450.0
2022-10-26,299150.0,299150.0,299150.0,299150.0,300346600,1004,6,290450.0,299150.0
2022-10-29,308100.0,308100.0,308100.0,308100.0,185476200,602,8,299150.0,308100.0
2022-10-30,317300.0,317300.0,317300.0,317300.0,191331900,603,6,308100.0,317300.0
2022-10-31,326800.0,326800.0,307800.0,317650.0,23168001600,72938,349,317300.0,326800.0
2022-11-01,327150.0,327150.0,327150.0,318200.0,605554650,1851,12,317650.0,327150.0
2022-11-02,327700.0,327700.0,326800.0,321900.0,4251541800,12974,74,318200.0,327700.0
2022-11-05,312250.0,331550.0,312250.0,324800.0,4345063550,13218,55,321900.0,331550.0
2022-11-06,334500.0,334500.0,334500.0,328500.0,3948772500,11805,37,324800.0,334500.0
2022-11-07,338350.0,338350.0,337100.0,331750.0,3526820250,10430,103,328500.0,337400.0
2022-11-08,341650.0,341650.0,321800.0,325800.0,7609301200,23496,225,331750.0,321800.0
2022-11-09,316050.0,330000.0,316050.0,322900.0,3390069600,10681,106,325800.0,316050.0
2022-11-12,313250.0,332550.0,313250.0,324250.0,6579774050,20248,143,322900.0,332550.0
2022-11-13,333950.0,333950.0,333950.0,325400.0,1208231100,3618,19,324250.0,333950.0
2022-11-14,335150.0,335150.0,335150.0,325850.0,465523350,1389,13,325400.0,335150.0
2022-11-15,335600.0,335600.0,335600.0,326450.0,645358800,1923,11,325850.0,335600.0
2022-11-16,336200.0,336200.0,336200.0,329350.0,3121280800,9284,23,326450.0,336200.0
2022-11-19,339200.0,339200.0,339200.0,329400.0,73267200,216,4,329350.0,339200.0
2022-11-20,339250.0,339250.0,339250.0,329650.0,255116000,752,6,329400.0,339250.0
2022-11-21,339500.0,339500.0,339500.0,330200.0,588353500,1733,11,329650.0,339500.0
